SYMBOL	Feature2	Feature_original
ABL1	NM_005157	NM_005157.6
ASXL1	NM_015338	NM_015338.6
BCOR	NM_017745	NM_017745.6
BRAF	NM_004333	NM_004333.6
CALR	NM_004343	NM_004343.3
CBL	NM_005188	NM_005188.4
CEBPA	NM_004364	NM_004364.4
CSF3R	NM_156039	NM_156039.3
DDX41	NM_016222	NM_016222.4
DNMT3A	NM_022552	NM_022552.4
ETV6	NM_001987	NM_001987.5
EZH2	NM_004456	NM_004456.5
FLT3	NM_004119	NM_004119.3
GATA2	NM_032638	NM_032638.5
HRAS	NM_005343	NM_005343.4
IDH1	NM_005896	NM_005896.3
IDH2	NM_002168	NM_002168.3
JAK2	NM_004972	NM_004972.3
KAT6A	NM_006766	NM_006766.5
KIT	NM_000222	NM_000222.2
KMT2A	NM_001197104	NM_001197104.1
KRAS	NM_004985	NM_004985.5
MPL	NM_005373	NM_005373.3
NF1	NM_001042492	NM_001042492.3
NPM1	NM_002520	NM_002520.6
NRAS	NM_002524	NM_002524.5
NUP98	NM_016320	NM_016320.5
PHF6	NM_032458	NM_032458.3
PPM1D	NM_003620	NM_003620.4
PRPF8	NM_006445	NM_006445.4
PTPN11	NM_002834	NM_002834.4
RARA	NM_000964	NM_000964.4
RUNX1	NM_001754	NM_001754.4
SETBP1	NM_015559	NM_015559.3
SF3B1	NM_012433	NM_012433.3
SRSF2	NM_003016	NM_003016.4
STAG2	NM_001282418	NM_001282418.2
TET2	NM_001127208	NM_001127208.2
TP53	NM_000546	NM_000546.5
U2AF1	NM_006758	NM_006758.2
ZRSR2	NM_005089	NM_005089.3
WT1	ENST00000332351	ENST00000332351
NUP214	ENST00000359428	ENST00000359428
MECOM	ENST00000264674	ENST00000264674
MYH11	ENST00000396324	ENST00000396324
ANKRD26	NM_014915	NM_014915.2
RB1	NM_000321	NM_000321.2
SH2B3	NM_005475	NM_005475.3
SMC1A	NM_006306	NM_006306.4
SMC3	NM_005445	NM_005445.3
MYD88	ENST00000396334	ENST00000396334
